
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Dec 12 2014,Box Score,New York Knicks,101,Boston Celtics,95,,
Fri Dec 12 2014,Box Score,Philadelphia 76ers,70,Brooklyn Nets,88,,
Fri Dec 12 2014,Box Score,Portland Trail Blazers,106,Chicago Bulls,115,,
Fri Dec 12 2014,Box Score,Charlotte Hornets,107,Memphis Grizzlies,113,2OT,
Fri Dec 12 2014,Box Score,Oklahoma City Thunder,111,Minnesota Timberwolves,92,,
Fri Dec 12 2014,Box Score,Cleveland Cavaliers,114,New Orleans Pelicans,119,,
Fri Dec 12 2014,Box Score,Detroit Pistons,105,Phoenix Suns,103,,
Fri Dec 12 2014,Box Score,Los Angeles Lakers,112,San Antonio Spurs,110,OT,
Fri Dec 12 2014,Box Score,Indiana Pacers,94,Toronto Raptors,106,,
Fri Dec 12 2014,Box Score,Miami Heat,100,Utah Jazz,95,,
Fri Dec 12 2014,Box Score,Los Angeles Clippers,96,Washington Wizards,104,,
Sat Dec 13 2014,Box Score,Brooklyn Nets,114,Charlotte Hornets,87,,
Sat Dec 13 2014,Box Score,Golden State Warriors,105,Dallas Mavericks,98,,
Sat Dec 13 2014,Box Score,Denver Nuggets,96,Houston Rockets,108,,
Sat Dec 13 2014,Box Score,Portland Trail Blazers,95,Indiana Pacers,85,,
Sat Dec 13 2014,Box Score,Los Angeles Clippers,106,Milwaukee Bucks,111,,
Sat Dec 13 2014,Box Score,Atlanta Hawks,99,Orlando Magic,100,,
Sat Dec 13 2014,Box Score,Memphis Grizzlies,120,Philadelphia 76ers,115,OT,
Sat Dec 13 2014,Box Score,Detroit Pistons,95,Sacramento Kings,90,,
Sun Dec 14 2014,Box Score,San Antonio Spurs,99,Denver Nuggets,91,,
Sun Dec 14 2014,Box Score,Chicago Bulls,93,Miami Heat,75,,
Sun Dec 14 2014,Box Score,Los Angeles Lakers,100,Minnesota Timberwolves,94,,
Sun Dec 14 2014,Box Score,Golden State Warriors,128,New Orleans Pelicans,122,OT,
Sun Dec 14 2014,Box Score,Toronto Raptors,95,New York Knicks,90,OT,
Sun Dec 14 2014,Box Score,Phoenix Suns,88,Oklahoma City Thunder,112,,
Sun Dec 14 2014,Box Score,Utah Jazz,84,Washington Wizards,93,,
Mon Dec 15 2014,Box Score,Chicago Bulls,86,Atlanta Hawks,93,,
Mon Dec 15 2014,Box Score,Charlotte Hornets,88,Cleveland Cavaliers,97,,
Mon Dec 15 2014,Box Score,Los Angeles Lakers,91,Indiana Pacers,110,,
Mon Dec 15 2014,Box Score,Detroit Pistons,91,Los Angeles Clippers,113,,
Mon Dec 15 2014,Box Score,Boston Celtics,105,Philadelphia 76ers,87,,
Mon Dec 15 2014,Box Score,Milwaukee Bucks,96,Phoenix Suns,94,,
Mon Dec 15 2014,Box Score,San Antonio Spurs,95,Portland Trail Blazers,108,,
Mon Dec 15 2014,Box Score,Orlando Magic,82,Toronto Raptors,95,,
Tue Dec 16 2014,Box Score,Miami Heat,95,Brooklyn Nets,91,,
Tue Dec 16 2014,Box Score,Golden State Warriors,98,Memphis Grizzlies,105,,
Tue Dec 16 2014,Box Score,Utah Jazz,111,New Orleans Pelicans,119,,
Tue Dec 16 2014,Box Score,Dallas Mavericks,107,New York Knicks,87,,
Tue Dec 16 2014,Box Score,Oklahoma City Thunder,104,Sacramento Kings,92,,
Tue Dec 16 2014,Box Score,Minnesota Timberwolves,95,Washington Wizards,109,,
Wed Dec 17 2014,Box Score,Orlando Magic,92,Boston Celtics,109,,
Wed Dec 17 2014,Box Score,Phoenix Suns,111,Charlotte Hornets,106,,
Wed Dec 17 2014,Box Score,Atlanta Hawks,127,Cleveland Cavaliers,98,,
Wed Dec 17 2014,Box Score,Houston Rockets,115,Denver Nuggets,111,OT,
Wed Dec 17 2014,Box Score,Dallas Mavericks,117,Detroit Pistons,106,,
Wed Dec 17 2014,Box Score,Indiana Pacers,100,Los Angeles Clippers,102,,
Wed Dec 17 2014,Box Score,Utah Jazz,105,Miami Heat,87,,
Wed Dec 17 2014,Box Score,Milwaukee Bucks,97,Portland Trail Blazers,104,,
Wed Dec 17 2014,Box Score,Memphis Grizzlies,117,San Antonio Spurs,116,3OT,
Wed Dec 17 2014,Box Score,Brooklyn Nets,89,Toronto Raptors,105,,
Thu Dec 18 2014,Box Score,New York Knicks,97,Chicago Bulls,103,,
Thu Dec 18 2014,Box Score,Oklahoma City Thunder,109,Golden State Warriors,114,,
Thu Dec 18 2014,Box Score,New Orleans Pelicans,99,Houston Rockets,90,,
Thu Dec 18 2014,Box Score,Milwaukee Bucks,108,Sacramento Kings,107,,
Fri Dec 19 2014,Box Score,Minnesota Timberwolves,98,Boston Celtics,114,,
Fri Dec 19 2014,Box Score,Brooklyn Nets,91,Cleveland Cavaliers,95,,
Fri Dec 19 2014,Box Score,Los Angeles Clippers,106,Denver Nuggets,109,,
Fri Dec 19 2014,Box Score,Toronto Raptors,110,Detroit Pistons,100,,
Fri Dec 19 2014,Box Score,Oklahoma City Thunder,104,Los Angeles Lakers,103,,
Fri Dec 19 2014,Box Score,Chicago Bulls,103,Memphis Grizzlies,97,,
Fri Dec 19 2014,Box Score,Washington Wizards,105,Miami Heat,103,,
Fri Dec 19 2014,Box Score,Utah Jazz,101,Orlando Magic,94,,
Fri Dec 19 2014,Box Score,Charlotte Hornets,109,Philadelphia 76ers,91,,
Fri Dec 19 2014,Box Score,Portland Trail Blazers,129,San Antonio Spurs,119,3OT,
Sat Dec 20 2014,Box Score,Utah Jazz,86,Charlotte Hornets,104,,
Sat Dec 20 2014,Box Score,San Antonio Spurs,93,Dallas Mavericks,99,,
Sat Dec 20 2014,Box Score,Indiana Pacers,73,Denver Nuggets,76,,
Sat Dec 20 2014,Box Score,Atlanta Hawks,104,Houston Rockets,97,,
Sat Dec 20 2014,Box Score,Milwaukee Bucks,102,Los Angeles Clippers,106,,
Sat Dec 20 2014,Box Score,Portland Trail Blazers,114,New Orleans Pelicans,88,,
Sat Dec 20 2014,Box Score,Phoenix Suns,99,New York Knicks,90,,
Sun Dec 21 2014,Box Score,Detroit Pistons,105,Brooklyn Nets,110,,
Sun Dec 21 2014,Box Score,Memphis Grizzlies,91,Cleveland Cavaliers,105,,
Sun Dec 21 2014,Box Score,Boston Celtics,84,Miami Heat,100,,
Sun Dec 21 2014,Box Score,Indiana Pacers,100,Minnesota Timberwolves,96,,
Sun Dec 21 2014,Box Score,New Orleans Pelicans,101,Oklahoma City Thunder,99,,
Sun Dec 21 2014,Box Score,Philadelphia 76ers,96,Orlando Magic,88,,
Sun Dec 21 2014,Box Score,Los Angeles Lakers,101,Sacramento Kings,108,,
Sun Dec 21 2014,Box Score,New York Knicks,108,Toronto Raptors,118,,
Sun Dec 21 2014,Box Score,Phoenix Suns,104,Washington Wizards,92,,
Mon Dec 22 2014,Box Score,Toronto Raptors,120,Chicago Bulls,129,,
Mon Dec 22 2014,Box Score,Denver Nuggets,82,Charlotte Hornets,110,,
Mon Dec 22 2014,Box Score,Atlanta Hawks,105,Dallas Mavericks,102,,
Mon Dec 22 2014,Box Score,Sacramento Kings,108,Golden State Warriors,128,,
Mon Dec 22 2014,Box Score,Portland Trail Blazers,95,Houston Rockets,110,,
Mon Dec 22 2014,Box Score,Utah Jazz,97,Memphis Grizzlies,91,,
Mon Dec 22 2014,Box Score,Los Angeles Clippers,118,San Antonio Spurs,125,,
Tue Dec 23 2014,Box Score,Los Angeles Clippers,104,Atlanta Hawks,107,,
Tue Dec 23 2014,Box Score,Denver Nuggets,96,Brooklyn Nets,102,,
Tue Dec 23 2014,Box Score,Minnesota Timberwolves,104,Cleveland Cavaliers,125,,
Tue Dec 23 2014,Box Score,New Orleans Pelicans,84,Indiana Pacers,96,,
Tue Dec 23 2014,Box Score,Golden State Warriors,105,Los Angeles Lakers,115,,
Tue Dec 23 2014,Box Score,Philadelphia 76ers,91,Miami Heat,87,,
Tue Dec 23 2014,Box Score,Charlotte Hornets,108,Milwaukee Bucks,101,,
Tue Dec 23 2014,Box Score,Portland Trail Blazers,115,Oklahoma City Thunder,111,OT,
Tue Dec 23 2014,Box Score,Boston Celtics,95,Orlando Magic,100,,
Tue Dec 23 2014,Box Score,Dallas Mavericks,115,Phoenix Suns,124,,
Tue Dec 23 2014,Box Score,Chicago Bulls,99,Washington Wizards,91,,
Thu Dec 25 2014,Box Score,Los Angeles Lakers,93,Chicago Bulls,113,,
Thu Dec 25 2014,Box Score,Golden State Warriors,86,Los Angeles Clippers,100,,
Thu Dec 25 2014,Box Score,Cleveland Cavaliers,91,Miami Heat,101,,
Thu Dec 25 2014,Box Score,Washington Wizards,102,New York Knicks,91,,
Thu Dec 25 2014,Box Score,Oklahoma City Thunder,114,San Antonio Spurs,106,,
Fri Dec 26 2014,Box Score,Milwaukee Bucks,107,Atlanta Hawks,77,,
Fri Dec 26 2014,Box Score,Brooklyn Nets,109,Boston Celtics,107,,
Fri Dec 26 2014,Box Score,Los Angeles Lakers,98,Dallas Mavericks,102,,
Fri Dec 26 2014,Box Score,Minnesota Timberwolves,102,Denver Nuggets,106,,
Fri Dec 26 2014,Box Score,Indiana Pacers,109,Detroit Pistons,119,,
Fri Dec 26 2014,Box Score,Houston Rockets,117,Memphis Grizzlies,111,OT,
Fri Dec 26 2014,Box Score,San Antonio Spurs,90,New Orleans Pelicans,97,,
Fri Dec 26 2014,Box Score,Charlotte Hornets,75,Oklahoma City Thunder,98,,
Fri Dec 26 2014,Box Score,Cleveland Cavaliers,98,Orlando Magic,89,,
Fri Dec 26 2014,Box Score,Philadelphia 76ers,93,Portland Trail Blazers,114,,
Fri Dec 26 2014,Box Score,Phoenix Suns,115,Sacramento Kings,106,,
Sat Dec 27 2014,Box Score,Indiana Pacers,110,Brooklyn Nets,85,,
Sat Dec 27 2014,Box Score,New Orleans Pelicans,100,Chicago Bulls,107,,
Sat Dec 27 2014,Box Score,Orlando Magic,102,Charlotte Hornets,94,,
Sat Dec 27 2014,Box Score,Minnesota Timberwolves,97,Golden State Warriors,110,,
Sat Dec 27 2014,Box Score,Toronto Raptors,110,Los Angeles Clippers,98,,
Sat Dec 27 2014,Box Score,Memphis Grizzlies,103,Miami Heat,95,,
Sat Dec 27 2014,Box Score,Atlanta Hawks,90,Milwaukee Bucks,85,,
Sat Dec 27 2014,Box Score,New York Knicks,129,Sacramento Kings,135,OT,
Sat Dec 27 2014,Box Score,Philadelphia 76ers,71,Utah Jazz,88,,
Sat Dec 27 2014,Box Score,Boston Celtics,88,Washington Wizards,101,,
Sun Dec 28 2014,Box Score,Detroit Pistons,103,Cleveland Cavaliers,80,,
Sun Dec 28 2014,Box Score,Oklahoma City Thunder,107,Dallas Mavericks,112,,
Sun Dec 28 2014,Box Score,Toronto Raptors,116,Denver Nuggets,102,,
Sun Dec 28 2014,Box Score,Phoenix Suns,116,Los Angeles Lakers,107,,
Sun Dec 28 2014,Box Score,New York Knicks,79,Portland Trail Blazers,101,,
Sun Dec 28 2014,Box Score,Houston Rockets,106,San Antonio Spurs,110,,
Mon Dec 29 2014,Box Score,Sacramento Kings,99,Brooklyn Nets,107,,
Mon Dec 29 2014,Box Score,Milwaukee Bucks,104,Charlotte Hornets,94,OT,
Mon Dec 29 2014,Box Score,Washington Wizards,104,Houston Rockets,103,,
Mon Dec 29 2014,Box Score,Chicago Bulls,92,Indiana Pacers,90,,
Mon Dec 29 2014,Box Score,Utah Jazz,97,Los Angeles Clippers,101,,
Mon Dec 29 2014,Box Score,Orlando Magic,102,Miami Heat,101,,
Tue Dec 30 2014,Box Score,Cleveland Cavaliers,101,Atlanta Hawks,109,,
Tue Dec 30 2014,Box Score,Brooklyn Nets,96,Chicago Bulls,82,,
Tue Dec 30 2014,Box Score,Washington Wizards,87,Dallas Mavericks,114,,
Tue Dec 30 2014,Box Score,Los Angeles Lakers,111,Denver Nuggets,103,,
Tue Dec 30 2014,Box Score,Philadelphia 76ers,86,Golden State Warriors,126,,
Tue Dec 30 2014,Box Score,San Antonio Spurs,87,Memphis Grizzlies,95,,
Tue Dec 30 2014,Box Score,Phoenix Suns,106,New Orleans Pelicans,110,,
Tue Dec 30 2014,Box Score,Detroit Pistons,109,Orlando Magic,86,,
Tue Dec 30 2014,Box Score,Toronto Raptors,97,Portland Trail Blazers,102,OT,
Tue Dec 30 2014,Box Score,Minnesota Timberwolves,94,Utah Jazz,100,,
Wed Dec 31 2014,Box Score,Sacramento Kings,84,Boston Celtics,106,,
Wed Dec 31 2014,Box Score,Milwaukee Bucks,96,Cleveland Cavaliers,80,,
Wed Dec 31 2014,Box Score,Charlotte Hornets,83,Houston Rockets,102,,
Wed Dec 31 2014,Box Score,Miami Heat,95,Indiana Pacers,106,,
Wed Dec 31 2014,Box Score,New York Knicks,78,Los Angeles Clippers,99,,
Wed Dec 31 2014,Box Score,Phoenix Suns,134,Oklahoma City Thunder,137,OT,
Wed Dec 31 2014,Box Score,New Orleans Pelicans,93,San Antonio Spurs,95,OT,
Thu Jan 1 2015,Box Score,Denver Nuggets,101,Chicago Bulls,106,,
Thu Jan 1 2015,Box Score,Sacramento Kings,110,Minnesota Timberwolves,107,,
Fri Jan 2 2015,Box Score,Dallas Mavericks,119,Boston Celtics,101,,
Fri Jan 2 2015,Box Score,Cleveland Cavaliers,91,Charlotte Hornets,87,,
Fri Jan 2 2015,Box Score,Toronto Raptors,105,Golden State Warriors,126,,
Fri Jan 2 2015,Box Score,Memphis Grizzlies,109,Los Angeles Lakers,106,,
Fri Jan 2 2015,Box Score,Indiana Pacers,94,Milwaukee Bucks,91,,
Fri Jan 2 2015,Box Score,Houston Rockets,83,New Orleans Pelicans,111,,
Fri Jan 2 2015,Box Score,Detroit Pistons,97,New York Knicks,81,,
Fri Jan 2 2015,Box Score,Washington Wizards,102,Oklahoma City Thunder,109,,
Fri Jan 2 2015,Box Score,Brooklyn Nets,100,Orlando Magic,98,,
Fri Jan 2 2015,Box Score,Philadelphia 76ers,96,Phoenix Suns,112,,
Fri Jan 2 2015,Box Score,Atlanta Hawks,98,Utah Jazz,92,,
Sat Jan 3 2015,Box Score,Boston Celtics,104,Chicago Bulls,109,OT,
Sat Jan 3 2015,Box Score,Memphis Grizzlies,85,Denver Nuggets,114,,
Sat Jan 3 2015,Box Score,Miami Heat,79,Houston Rockets,115,,
Sat Jan 3 2015,Box Score,Philadelphia 76ers,91,Los Angeles Clippers,127,,
Sat Jan 3 2015,Box Score,Utah Jazz,101,Minnesota Timberwolves,89,,
Sat Jan 3 2015,Box Score,Charlotte Hornets,98,Orlando Magic,90,,
Sat Jan 3 2015,Box Score,Atlanta Hawks,115,Portland Trail Blazers,107,,
Sat Jan 3 2015,Box Score,Washington Wizards,92,San Antonio Spurs,101,,
Sun Jan 4 2015,Box Score,Dallas Mavericks,109,Cleveland Cavaliers,90,,
Sun Jan 4 2015,Box Score,Sacramento Kings,95,Detroit Pistons,114,,
Sun Jan 4 2015,Box Score,Indiana Pacers,87,Los Angeles Lakers,88,,
Sun Jan 4 2015,Box Score,Brooklyn Nets,84,Miami Heat,88,,
Sun Jan 4 2015,Box Score,Milwaukee Bucks,95,New York Knicks,82,,
Sun Jan 4 2015,Box Score,Toronto Raptors,109,Phoenix Suns,125,,
Mon Jan 5 2015,Box Score,Charlotte Hornets,104,Boston Celtics,95,,
Mon Jan 5 2015,Box Score,Dallas Mavericks,96,Brooklyn Nets,88,OT,
Mon Jan 5 2015,Box Score,Houston Rockets,105,Chicago Bulls,114,,
Mon Jan 5 2015,Box Score,Oklahoma City Thunder,91,Golden State Warriors,117,,
Mon Jan 5 2015,Box Score,Atlanta Hawks,107,Los Angeles Clippers,98,,
Mon Jan 5 2015,Box Score,New York Knicks,83,Memphis Grizzlies,105,,
Mon Jan 5 2015,Box Score,Denver Nuggets,110,Minnesota Timberwolves,101,,
Mon Jan 5 2015,Box Score,Washington Wizards,92,New Orleans Pelicans,85,,
Mon Jan 5 2015,Box Score,Cleveland Cavaliers,92,Philadelphia 76ers,95,,
Mon Jan 5 2015,Box Score,Los Angeles Lakers,94,Portland Trail Blazers,98,,
Mon Jan 5 2015,Box Score,Indiana Pacers,105,Utah Jazz,101,,
Tue Jan 6 2015,Box Score,Phoenix Suns,102,Milwaukee Bucks,96,,
Tue Jan 6 2015,Box Score,Detroit Pistons,105,San Antonio Spurs,104,,
Wed Jan 7 2015,Box Score,Memphis Grizzlies,86,Atlanta Hawks,96,,
Wed Jan 7 2015,Box Score,Boston Celtics,89,Brooklyn Nets,81,,
Wed Jan 7 2015,Box Score,Utah Jazz,97,Chicago Bulls,77,,
Wed Jan 7 2015,Box Score,New Orleans Pelicans,94,Charlotte Hornets,98,,
Wed Jan 7 2015,Box Score,Houston Rockets,105,Cleveland Cavaliers,93,,
Wed Jan 7 2015,Box Score,Detroit Pistons,108,Dallas Mavericks,95,,
Wed Jan 7 2015,Box Score,Orlando Magic,90,Denver Nuggets,93,,
Wed Jan 7 2015,Box Score,Indiana Pacers,102,Golden State Warriors,117,,
Wed Jan 7 2015,Box Score,Los Angeles Lakers,89,Los Angeles Clippers,114,,
Wed Jan 7 2015,Box Score,Phoenix Suns,113,Minnesota Timberwolves,111,,
Wed Jan 7 2015,Box Score,Milwaukee Bucks,97,Philadelphia 76ers,77,,
Wed Jan 7 2015,Box Score,Oklahoma City Thunder,83,Sacramento Kings,104,,
Wed Jan 7 2015,Box Score,New York Knicks,91,Washington Wizards,101,,
Thu Jan 8 2015,Box Score,Houston Rockets,120,New York Knicks,96,,
Thu Jan 8 2015,Box Score,Miami Heat,83,Portland Trail Blazers,99,,
Thu Jan 8 2015,Box Score,Charlotte Hornets,103,Toronto Raptors,95,,
Fri Jan 9 2015,Box Score,Philadelphia 76ers,90,Brooklyn Nets,88,,
Fri Jan 9 2015,Box Score,Atlanta Hawks,106,Detroit Pistons,103,,
Fri Jan 9 2015,Box Score,Cleveland Cavaliers,94,Golden State Warriors,112,,
Fri Jan 9 2015,Box Score,Boston Celtics,103,Indiana Pacers,107,OT,
Fri Jan 9 2015,Box Score,Orlando Magic,84,Los Angeles Lakers,101,,
Fri Jan 9 2015,Box Score,Minnesota Timberwolves,84,Milwaukee Bucks,98,,
Fri Jan 9 2015,Box Score,Memphis Grizzlies,95,New Orleans Pelicans,106,,
Fri Jan 9 2015,Box Score,Utah Jazz,94,Oklahoma City Thunder,99,,
Fri Jan 9 2015,Box Score,Denver Nuggets,118,Sacramento Kings,108,,
Fri Jan 9 2015,Box Score,Phoenix Suns,95,San Antonio Spurs,100,,
Fri Jan 9 2015,Box Score,Chicago Bulls,86,Washington Wizards,102,,
Sat Jan 10 2015,Box Score,Milwaukee Bucks,87,Chicago Bulls,95,,
Sat Jan 10 2015,Box Score,Brooklyn Nets,93,Detroit Pistons,98,,
Sat Jan 10 2015,Box Score,Utah Jazz,82,Houston Rockets,97,,
Sat Jan 10 2015,Box Score,Dallas Mavericks,100,Los Angeles Clippers,120,,
Sat Jan 10 2015,Box Score,San Antonio Spurs,108,Minnesota Timberwolves,93,,
Sat Jan 10 2015,Box Score,Charlotte Hornets,110,New York Knicks,82,,
Sat Jan 10 2015,Box Score,Indiana Pacers,92,Philadelphia 76ers,93,,
Sat Jan 10 2015,Box Score,Orlando Magic,92,Portland Trail Blazers,103,,
Sat Jan 10 2015,Box Score,Boston Celtics,96,Toronto Raptors,109,,
Sun Jan 11 2015,Box Score,Washington Wizards,89,Atlanta Hawks,120,,
Sun Jan 11 2015,Box Score,Miami Heat,104,Los Angeles Clippers,90,,
Sun Jan 11 2015,Box Score,Portland Trail Blazers,106,Los Angeles Lakers,94,,
Sun Jan 11 2015,Box Score,Phoenix Suns,110,Memphis Grizzlies,122,2OT,
Sun Jan 11 2015,Box Score,Cleveland Cavaliers,84,Sacramento Kings,103,,
Mon Jan 12 2015,Box Score,New Orleans Pelicans,100,Boston Celtics,108,,
Mon Jan 12 2015,Box Score,Houston Rockets,113,Brooklyn Nets,99,,
Mon Jan 12 2015,Box Score,Orlando Magic,121,Chicago Bulls,114,,
Mon Jan 12 2015,Box Score,Detroit Pistons,114,Toronto Raptors,111,,
Tue Jan 13 2015,Box Score,Minnesota Timberwolves,110,Indiana Pacers,101,,
Tue Jan 13 2015,Box Score,Miami Heat,78,Los Angeles Lakers,75,,
Tue Jan 13 2015,Box Score,Atlanta Hawks,105,Philadelphia 76ers,87,,
Tue Jan 13 2015,Box Score,Cleveland Cavaliers,100,Phoenix Suns,107,,
Tue Jan 13 2015,Box Score,Dallas Mavericks,108,Sacramento Kings,104,OT,
Tue Jan 13 2015,Box Score,Golden State Warriors,116,Utah Jazz,105,,
Tue Jan 13 2015,Box Score,San Antonio Spurs,93,Washington Wizards,101,,
Wed Jan 14 2015,Box Score,Atlanta Hawks,105,Boston Celtics,91,,
Wed Jan 14 2015,Box Score,Memphis Grizzlies,103,Brooklyn Nets,92,,
Wed Jan 14 2015,Box Score,Washington Wizards,105,Chicago Bulls,99,,
Wed Jan 14 2015,Box Score,San Antonio Spurs,98,Charlotte Hornets,93,,
Wed Jan 14 2015,Box Score,Dallas Mavericks,107,Denver Nuggets,114,,
Wed Jan 14 2015,Box Score,New Orleans Pelicans,105,Detroit Pistons,94,,
Wed Jan 14 2015,Box Score,Miami Heat,89,Golden State Warriors,104,,
Wed Jan 14 2015,Box Score,Houston Rockets,113,Orlando Magic,120,,
Wed Jan 14 2015,Box Score,Los Angeles Clippers,100,Portland Trail Blazers,94,,
Wed Jan 14 2015,Box Score,Philadelphia 76ers,84,Toronto Raptors,100,,
Thu Jan 15 2015,Box Score,Oklahoma City Thunder,101,Houston Rockets,112,,
Thu Jan 15 2015,Box Score,Cleveland Cavaliers,109,Los Angeles Lakers,102,,
Thu Jan 15 2015,Box Score,New York Knicks,79,Milwaukee Bucks,95,,at The O2 London England
Fri Jan 16 2015,Box Score,Chicago Bulls,119,Boston Celtics,103,,
Fri Jan 16 2015,Box Score,Denver Nuggets,89,Dallas Mavericks,97,,
Fri Jan 16 2015,Box Score,Detroit Pistons,98,Indiana Pacers,96,,
Fri Jan 16 2015,Box Score,Cleveland Cavaliers,126,Los Angeles Clippers,121,,
Fri Jan 16 2015,Box Score,Golden State Warriors,115,Oklahoma City Thunder,127,,
Fri Jan 16 2015,Box Score,Memphis Grizzlies,106,Orlando Magic,96,,
Fri Jan 16 2015,Box Score,New Orleans Pelicans,81,Philadelphia 76ers,96,,
Fri Jan 16 2015,Box Score,Minnesota Timberwolves,99,Phoenix Suns,110,,
Fri Jan 16 2015,Box Score,Miami Heat,95,Sacramento Kings,83,,
Fri Jan 16 2015,Box Score,Portland Trail Blazers,96,San Antonio Spurs,110,,
Fri Jan 16 2015,Box Score,Atlanta Hawks,110,Toronto Raptors,89,,
Fri Jan 16 2015,Box Score,Los Angeles Lakers,85,Utah Jazz,94,,
Fri Jan 16 2015,Box Score,Brooklyn Nets,102,Washington Wizards,80,,
Sat Jan 17 2015,Box Score,Washington Wizards,99,Brooklyn Nets,90,,
Sat Jan 17 2015,Box Score,Atlanta Hawks,107,Chicago Bulls,99,,
Sat Jan 17 2015,Box Score,Indiana Pacers,71,Charlotte Hornets,80,OT,
Sat Jan 17 2015,Box Score,Minnesota Timberwolves,113,Denver Nuggets,105,,
Sat Jan 17 2015,Box Score,Philadelphia 76ers,89,Detroit Pistons,107,,
Sat Jan 17 2015,Box Score,Golden State Warriors,131,Houston Rockets,106,,
Sat Jan 17 2015,Box Score,Portland Trail Blazers,98,Memphis Grizzlies,102,,
Sat Jan 17 2015,Box Score,Los Angeles Clippers,117,Sacramento Kings,108,,
Sun Jan 18 2015,Box Score,Oklahoma City Thunder,127,Orlando Magic,99,,
Sun Jan 18 2015,Box Score,Utah Jazz,69,San Antonio Spurs,89,,
Sun Jan 18 2015,Box Score,New Orleans Pelicans,95,Toronto Raptors,93,,
Mon Jan 19 2015,Box Score,Detroit Pistons,82,Atlanta Hawks,93,,
Mon Jan 19 2015,Box Score,Minnesota Timberwolves,80,Charlotte Hornets,105,,
Mon Jan 19 2015,Box Score,Chicago Bulls,94,Cleveland Cavaliers,108,,
Mon Jan 19 2015,Box Score,Denver Nuggets,79,Golden State Warriors,122,,
Mon Jan 19 2015,Box Score,Indiana Pacers,98,Houston Rockets,110,,
Mon Jan 19 2015,Box Score,Boston Celtics,93,Los Angeles Clippers,102,,
Mon Jan 19 2015,Box Score,Dallas Mavericks,103,Memphis Grizzlies,95,,
Mon Jan 19 2015,Box Score,Toronto Raptors,92,Milwaukee Bucks,89,,
Mon Jan 19 2015,Box Score,New Orleans Pelicans,92,New York Knicks,99,,
Mon Jan 19 2015,Box Score,Los Angeles Lakers,100,Phoenix Suns,115,,
Mon Jan 19 2015,Box Score,Sacramento Kings,94,Portland Trail Blazers,98,,
Mon Jan 19 2015,Box Score,Philadelphia 76ers,76,Washington Wizards,111,,
Tue Jan 20 2015,Box Score,San Antonio Spurs,109,Denver Nuggets,99,,
Tue Jan 20 2015,Box Score,Oklahoma City Thunder,94,Miami Heat,86,,
Wed Jan 21 2015,Box Score,Indiana Pacers,91,Atlanta Hawks,110,,
Wed Jan 21 2015,Box Score,Miami Heat,76,Charlotte Hornets,78,,
Wed Jan 21 2015,Box Score,Utah Jazz,92,Cleveland Cavaliers,106,,
Wed Jan 21 2015,Box Score,Orlando Magic,118,Detroit Pistons,128,,
Wed Jan 21 2015,Box Score,Houston Rockets,113,Golden State Warriors,126,,
Wed Jan 21 2015,Box Score,Toronto Raptors,86,Memphis Grizzlies,92,,
Wed Jan 21 2015,Box Score,Dallas Mavericks,98,Minnesota Timberwolves,75,,
Wed Jan 21 2015,Box Score,Los Angeles Lakers,80,New Orleans Pelicans,96,,
Wed Jan 21 2015,Box Score,New York Knicks,98,Philadelphia 76ers,91,,
Wed Jan 21 2015,Box Score,Portland Trail Blazers,113,Phoenix Suns,118,,
Wed Jan 21 2015,Box Score,Brooklyn Nets,103,Sacramento Kings,100,,
Wed Jan 21 2015,Box Score,Oklahoma City Thunder,105,Washington Wizards,103,OT,
Thu Jan 22 2015,Box Score,San Antonio Spurs,81,Chicago Bulls,104,,
Thu Jan 22 2015,Box Score,Brooklyn Nets,84,Los Angeles Clippers,123,,
Thu Jan 22 2015,Box Score,Utah Jazz,101,Milwaukee Bucks,99,,
Thu Jan 22 2015,Box Score,Boston Celtics,90,Portland Trail Blazers,89,,
Fri Jan 23 2015,Box Score,Oklahoma City Thunder,93,Atlanta Hawks,103,,
Fri Jan 23 2015,Box Score,Charlotte Hornets,90,Cleveland Cavaliers,129,,
Fri Jan 23 2015,Box Score,Chicago Bulls,102,Dallas Mavericks,98,,
Fri Jan 23 2015,Box Score,Boston Celtics,100,Denver Nuggets,99,,
Fri Jan 23 2015,Box Score,Sacramento Kings,101,Golden State Warriors,126,,
Fri Jan 23 2015,Box Score,Indiana Pacers,87,Miami Heat,89,,
Fri Jan 23 2015,Box Score,New Orleans Pelicans,92,Minnesota Timberwolves,84,,
Fri Jan 23 2015,Box Score,Orlando Magic,106,New York Knicks,113,,
Fri Jan 23 2015,Box Score,Toronto Raptors,91,Philadelphia 76ers,86,,
Fri Jan 23 2015,Box Score,Houston Rockets,113,Phoenix Suns,111,,
Fri Jan 23 2015,Box Score,Los Angeles Lakers,85,San Antonio Spurs,99,,
Sat Jan 24 2015,Box Score,New York Knicks,71,Charlotte Hornets,76,,
Sat Jan 24 2015,Box Score,Philadelphia 76ers,83,Memphis Grizzlies,101,,
Sat Jan 24 2015,Box Score,Detroit Pistons,86,Milwaukee Bucks,101,,
Sat Jan 24 2015,Box Score,Washington Wizards,96,Portland Trail Blazers,103,,
Sat Jan 24 2015,Box Score,Brooklyn Nets,73,Utah Jazz,108,,
